id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,price_usd,volume_24h_usd,percent_change_1h_usd,percent_change_24h_usd,percent_change_7d_usd,market_cap_usd,last_updated_usd
1,Bitcoin,BTC,bitcoin,7733,2013-04-28T00:00:00.000Z,['Mineable'],21000000,18286125,18286125,,6638.46879174,46280555585.9,0.242075,0.33495,28.002,121391870134.3566,2020-03-25T15:53:38.000Z
1027,Ethereum,ETH,ethereum,5090,2015-08-07T00:00:00.000Z,['Mineable'],,110243387.499,110243387.499,,136.376310244,13818101897.1212,0.285031,-0.543434,20.2962,15034586415.913134,2020-03-25T15:53:27.000Z
52,XRP,XRP,xrp,499,2013-08-04T00:00:00.000Z,[],100000000000,43906191900,99991030755,,0.160665464428,2121410154.49606,0.0640396,-0.0823517,12.6781,7054208712.878392,2020-03-25T15:53:03.000Z
825,Tether,USDT,tether,4239,2015-02-25T00:00:00.000Z,[],,4642367414,4776930644,"{'id': 83, 'name': 'Omni', 'symbol': 'OMNI', 'slug': 'omni', 'token_address': '31'}",1.0033286113,54112382365.6719,0.316519,0.010543,1.16476,4657820050.632992,2020-03-25T15:53:24.000Z
1831,Bitcoin Cash,BCH,bitcoin-cash,457,2017-07-23T00:00:00.000Z,['Mineable'],21000000,18350062.5,18350062.5,,219.221782887,3456833612.31048,0.308912,-1.92989,24.0903,4022733417.33788,2020-03-25T15:53:08.000Z
3602,Bitcoin SV,BSV,bitcoin-sv,172,2018-11-09T00:00:00.000Z,['Mineable'],21000000,18347327.0819233,18347327.0819233,,171.136085731,2611219690.3425,-0.143275,-2.14207,48.8741,3139889740.426724,2020-03-25T15:53:12.000Z
2,Litecoin,LTC,litecoin,570,2013-04-28T00:00:00.000Z,['Mineable'],84000000,64361068.2031291,64361068.2031291,,39.0279310748,3155333970.92935,-0.01331,-1.03084,17.1958,2511879333.7322245,2020-03-25T15:53:11.000Z
1765,EOS,EOS,eos,376,2017-07-01T00:00:00.000Z,[],,921053647.6394,1017753659.4379,,2.29474054462,2634751121.18405,0.0290897,-1.25656,18.8678,2113579149.0082746,2020-03-25T15:53:07.000Z
1839,Binance Coin,BNB,binance-coin,306,2017-07-25T00:00:00.000Z,[],187536713,155536713,187536713,,12.2841344453,324911653.393143,-0.0618298,0.537171,22.4943,1910633893.6720402,2020-03-25T15:53:08.000Z
2011,Tezos,XTZ,tezos,71,2017-10-06T00:00:00.000Z,[],,704855179.539055,704855179.539055,,1.7072945669,151554955.465657,0.284477,-0.8928,28.2389,1203395418.4783525,2020-03-25T15:53:07.000Z
3957,UNUS SED LEO,LEO,unus-sed-leo,26,2019-05-21T00:00:00.000Z,[],,999498892.9,999498892.9,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3'}",1.01432782359,9288217.54685523,0.456539,-0.0930145,7.26519,1013819536.7158715,2020-03-25T15:53:14.000Z
512,Stellar,XLM,stellar,283,2014-08-05T00:00:00.000Z,[],,20286516473.5689,50001803900.9717,,0.0398156965541,335661740.188163,-0.262917,0.171449,12.3985,807721784.0513701,2020-03-25T15:53:05.000Z
328,Monero,XMR,monero,142,2014-05-21T00:00:00.000Z,['Mineable'],,17496927.9188072,17496927.9188072,,45.9902878042,152438265.599068,-0.192665,0.496079,30.4606,804688750.6752853,2020-03-25T15:53:03.000Z
1975,Chainlink,LINK,chainlink,151,2017-09-20T00:00:00.000Z,[],,350000000,1000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x514910771af9ca656af840dff83e8264ecf986ca'}",2.25232389032,277729175.21203,0.219465,-1.70227,22.4867,788313361.612,2020-03-25T15:53:06.000Z
2010,Cardano,ADA,cardano,125,2017-10-01T00:00:00.000Z,['Mineable'],45000000000,25927070538,31112483745,,0.0293283537749,83342816.6052866,-0.0450635,-0.263171,17.109,760398297.0852509,2020-03-25T15:53:08.000Z
2502,Huobi Token,HT,huobi-token,130,2018-02-03T00:00:00.000Z,[],,226294792.971921,500000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6f259637dcd74c767781e37bc6133cd6a68aa161'}",3.35675086041,161187752.821369,-0.287131,-0.671676,15.7886,759615241.0147986,2020-03-25T15:53:09.000Z
1958,TRON,TRX,tron,323,2017-09-13T00:00:00.000Z,['Mineable'],,66682072191.4,99281283754.3,,0.0112929659412,1038432541.16316,-0.139356,-0.259291,14.4663,753038370.1461198,2020-03-25T15:53:07.000Z
